mep_id,date,occupation,activity,first_name,last_name,country,eugroup
124806,membership,Council der Sweco GmbH. (Bremen),1,David,McALLISTER,Germany,PPE
1185,occupation,2010-2014 : Vice-présidente de                                                                           20000 la Commission européenne,5,Viviane,REDING,Luxembourg,PPE
1185,occasional,Discours occasionnels,2,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil consultatif du  "Women in Parliaments Global Forum| WIP""",0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du WIP Women Caucus,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil d'administration  de la fondation Chapelle Musicale Rein Elisabeth,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil consultatif du  Global Economic Symposium,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre indépendant du Conseil  d'administration d'Agfa-Gevaert,3,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil de surveillance  de la fondation Bertelsmann,3,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil d'honneur du  Mouvement Européen International,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil consultatif  international de PolAk (political academy of the Austrian People's,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil de la Fondation  Jean Monnet pour l'Europe,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil consultatif de  l'association European Horizons,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du "Board of Patrons"" de  la Fondation IRE (Institut der Regio Europas)",0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil consultatif  du Centre de Compétences Dusan Sidjanski en études européennes,0,Viviane,REDING,Luxembourg,PPE
96931,occupation,Membre du PE,4,Maurice,PONGA,France,PPE
107041,occupation,Europa-Abgeordneter,3,Heinz K.,BECKER,Austria,PPE
107041,activity,Generalsekretär des Österreichischen  Seniorenbundes,2,Heinz K.,BECKER,Austria,PPE
107041,activity,Mitglied    Vorstand     Hauptverband  Sozialversicherungsträger,2,Heinz K.,BECKER,Austria,PPE
107041,membership,Mitglied Vorstand Politische Akademie (ehrenamtlich),-1,Heinz K.,BECKER,Austria,PPE
107041,membership,Mitglied Aufsichtsrat Springer-Schlössl GmbH (ehrenamtlich),-1,Heinz K.,BECKER,Austria,PPE
28288,occupation,Poseł    do          Parlamentu  Europejskiego,4,Jan,OLBRYCHT,Poland,PPE
28288,occasional,Okazjonalne wykłady,0,Jan,OLBRYCHT,Poland,PPE
28301,occupation,Towarzystwo im. Hipolita  Cegielskiego – Członek Zarzą,0,Tadeusz,ZWIEFKA,Poland,PPE
28301,occupation,poseł do PE,4,Tadeusz,ZWIEFKA,Poland,PPE
96835,occupation,Membru             im     Parlamentul  European,4,Traian,UNGUREANU,Romania,PPE
96835,occupation,Membru "soc. Timișoara""",0,Traian,UNGUREANU,Romania,PPE
96835,membership,Societatea Timișoara,0,Traian,UNGUREANU,Romania,PPE
124802,occupation,Consilier Politic Principal  pentru Afaceri Economice| Parti Popular European,4,Siegfried,MUREŞAN,Romania,PPE
124802,membership,STIFTUNG JUGEND UND  SENIOREN   FÜR   EUROPA LUXEMBURG,0,Siegfried,MUREŞAN,Romania,PPE
124802,membership,PURTATOR   DE   CUVANT|  PARTIDUL POPULAR EUROPEAN,0,Siegfried,MUREŞAN,Romania,PPE
96698,occupation,EP NARYS,4,Viktor,USPASKICH,Lithuania,ALDE
96698,occupation,LR SEIMO NARYS 2012-2014  m,3,Viktor,USPASKICH,Lithuania,ALDE
96698,membership,KEDAINIU ROTARY KLUBO  NARYS,0,Viktor,USPASKICH,Lithuania,ALDE
96698,membership,DARBO PARTIJOS             GARBĖS  PIRMININKAS,0,Viktor,USPASKICH,Lithuania,ALDE
96698,membership,ASOCIACIJA „UŽ VIENINGĄ IR  SVEIKĄ EUROPĄ“,0,Viktor,USPASKICH,Lithuania,ALDE
124702,occupation,Senátor PČR,2,Jaromír,ŠTĚTINA,Czech Republic,PPE
1055,occupation,MEP seit 1989,4,Godelieve,QUISTHOUDT-ROWOHL,Germany,PPE
1055,membership,Vorsitz des Beirates Bischöfliche  Stiftung,0,Godelieve,QUISTHOUDT-ROWOHL,Germany,PPE
1055,membership,Mitglied Beirat "Jakobsweg""",0,Godelieve,QUISTHOUDT-ROWOHL,Germany,PPE
1055,membership,Honorarprof. UNI Hildesheim,0,Godelieve,QUISTHOUDT-ROWOHL,Germany,PPE
96756,occupation,Europa-Abgeordnete,4,Sabine,VERHEYEN,Germany,PPE
96756,membership,Vorsitzende Beirat Senologie des  Fördervereins Marienhospital Aachen,0,Sabine,VERHEYEN,Germany,PPE
1204,occupation,Député européen,4,Alain,LAMASSOURE,France,PPE
1204,membership,Vice-Président de l'association Cercle  de l'industrie,0,Alain,LAMASSOURE,France,PPE
1204,membership,Membre du Conseil d'orientation du  Mouvement Européen France,0,Alain,LAMASSOURE,France,PPE
124809,occupation,Ingenieur,3,Sven,SCHULZE,Germany,PPE
1179,occupation,Député à l'Assemblée nationale (jusqu'en  juin 2012),3,Michèle,ALLIOT-MARIE,France,PPE
1179,occupation,1er Adjoint au Maire de Saint Jean de Luz  (jusqu'en mars 2014),2,Michèle,ALLIOT-MARIE,France,PPE
1179,occasional,Ecriture de livres,3,Michèle,ALLIOT-MARIE,France,PPE
1179,occasional,Conférences,4,Michèle,ALLIOT-MARIE,France,PPE
1179,membership,Rayon Vert,-1,Michèle,ALLIOT-MARIE,France,PPE
1179,membership,Fondation du bénévolat,-1,Michèle,ALLIOT-MARIE,France,PPE
1179,membership,Académie culturelle Berlin,-1,Michèle,ALLIOT-MARIE,France,PPE
28135,occupation,MEP,4,György,SCHÖPFLIN,Hungary,PPE
28135,membership,Institute of Advanced Studies Kőszeg,0,György,SCHÖPFLIN,Hungary,PPE
28617,occupation,Professor University of Latvia  (income less than 500 euros per month),1,Inese,VAIDERE,Latvia,PPE
28617,occupation,Member of Board of the Political  Party Unity (not remunerated),0,Inese,VAIDERE,Latvia,PPE
28617,occupation,Member of the European  Parliament,4,Inese,VAIDERE,Latvia,PPE
28617,membership,President of the Latvian Economic  Development Forum (NGO) (not remunerated),0,Inese,VAIDERE,Latvia,PPE
28617,membership,Chair of Council of the Latvian  Occupation research society (not remunerated),0,Inese,VAIDERE,Latvia,PPE
28617,membership,Board member of Arturs Vaiders  Foundation,0,Inese,VAIDERE,Latvia,PPE
1038,occupation,Mitglied       des    Europäischen  Parlaments,4,Karl-Heinz,FLORENZ,Germany,PPE
1038,occupation,Landwirt,4,Karl-Heinz,FLORENZ,Germany,PPE
1038,activity,Landwirt,3,Karl-Heinz,FLORENZ,Germany,PPE
1038,occasional,Vorträge| Verfassen von Texten,1,Karl-Heinz,FLORENZ,Germany,PPE
1038,membership,Mitglied        der        Deutschen  Umweltstiftung,0,Karl-Heinz,FLORENZ,Germany,PPE
124701,occupation,Deloitte Czech Republic,4,Luděk,NIEDERMAYER,Czech Republic,PPE
124701,occupation,Česká bankovní asociace (ČBA),3,Luděk,NIEDERMAYER,Czech Republic,PPE
124701,membership,PROSTOR PLUS O.P.S.,0,Luděk,NIEDERMAYER,Czech Republic,PPE
28393,occupation,Diputado al Parlamento Europeo,4,Luis,de GRANDES PASCUAL,Spain,PPE
96767,occupation,Mitglied     des    Europäischen  Parlaments,3,Werner,KUHN,Germany,PPE
96767,occupation,Präsident des LV des DRK  Mecklenburg-Vorpommern,1,Werner,KUHN,Germany,PPE
96767,occupation,Aufsichtsrat           DRK  Blutspendedienst,0,Werner,KUHN,Germany,PPE
96767,membership,Präsident des LV des           DRK  Mecklenburg-Vorpommern,1,Werner,KUHN,Germany,PPE
96767,membership,Aufsichtsrat DRK Blutspendedienst,0,Werner,KUHN,Germany,PPE
133326,occupation,Presidente TEM,3,Stefano,MAULLU,Italy,PPE
133326,occupation,Ad TEE,3,Stefano,MAULLU,Italy,PPE
124876,occupation,By og Regionsrådsmedlem Nordjylland  indtil 1. august 2014.,2,Rikke,KARLSSON,Denmark,ECR
124876,activity,Bestyrelsespost i Ålborg Teater (under 500 EUR brutto om måneden) indtil 31. december 2014.,-1,Rikke,KARLSSON,Denmark,ECR
28390,occupation,Diputada al Parlamento Europeo,4,Pilar,del CASTILLO VERA,Spain,PPE
28390,membership,Patronato Fundación Museo del  Prado,0,Pilar,del CASTILLO VERA,Spain,PPE
28390,membership,Chair of the European Internet Forum,0,Pilar,del CASTILLO VERA,Spain,PPE
28390,membership,Patronato Fundación BOTIN,0,Pilar,del CASTILLO VERA,Spain,PPE
124893,occupation,Minister Kultury i Dziedzictwa  Narodowego,3,Bogdan Andrzej,ZDROJEWSKI,Poland,PPE
124893,occupation,Poseł na Sejm RP do 2014 r.,2,Bogdan Andrzej,ZDROJEWSKI,Poland,PPE
188906,occupation,Legal consultant,2,Francis,ZAMMIT DIMECH,Malta,PPE
